country,year,sex,age,people
AFRICA,1975,1,25,14543.562
AFRICA,1975,1,30,12079.692
AFRICA,1975,1,35,10445.122
AFRICA,1975,1,40,9093.713
AFRICA,1975,1,45,7691.395
AFRICA,1975,1,50,6257.118
AFRICA,1975,1,55,4967.339
AFRICA,1975,1,60,3764.209
AFRICA,1975,1,65,2705.16
AFRICA,1975,1,70,1697.981
AFRICA,1975,1,75,889.216
AFRICA,1975,1,80,458.495
AFRICA,1975,1,85,0.0
AFRICA,1975,1,90,0.0
AFRICA,1975,1,95,0.0
AFRICA,1975,1,100,0.0
AFRICA,1980,1,0,43565.311
AFRICA,1980,1,5,34844.035
AFRICA,1980,1,10,29300.824
AFRICA,1980,1,15,24840.695
AFRICA,1980,1,20,20650.035
AFRICA,1980,1,25,17068.691
AFRICA,1980,1,30,14078.081
AFRICA,1980,1,35,11647.239
AFRICA,1980,1,40,9984.772
AFRICA,1980,1,45,8608.321
AFRICA,1980,1,50,7134.59
AFRICA,1980,1,55,5676.846
AFRICA,1980,1,60,4316.288
AFRICA,1980,1,65,3070.247
AFRICA,1980,1,70,1977.124
AFRICA,1980,1,75,1056.779
AFRICA,1980,1,80,564.936
AFRICA,1980,1,85,0.0
AFRICA,1980,1,90,0.0
AFRICA,1980,1,95,0.0
AFRICA,1980,1,100,0.0
AFRICA,1985,1,0,49787.486
AFRICA,1985,1,5,40635.377
AFRICA,1985,1,10,34049.585
AFRICA,1985,1,15,28633.024
AFRICA,1985,1,20,23901.884
AFRICA,1985,1,25,19751.804
AFRICA,1985,1,30,16398.986
AFRICA,1985,1,35,13529.055
AFRICA,1985,1,40,11109.891
AFRICA,1985,1,45,9420.065
AFRICA,1985,1,50,7993.708
AFRICA,1985,1,55,6477.444
AFRICA,1985,1,60,4962.904
AFRICA,1985,1,65,3532.043
AFRICA,1985,1,70,2270.119
AFRICA,1985,1,75,1233.865
AFRICA,1985,1,80,682.932
AFRICA,1985,1,85,0.0
AFRICA,1985,1,90,0.0
AFRICA,1985,1,95,0.0
AFRICA,1985,1,100,0.0
AFRICA,1990,1,0,55693.991
AFRICA,1990,1,5,46815.388
AFRICA,1990,1,10,39810.509
AFRICA,1990,1,15,33202.705
AFRICA,1990,1,20,27447.72
AFRICA,1990,1,25,22970.307
AFRICA,1990,1,30,19087.914
AFRICA,1990,1,35,15767.007
AFRICA,1990,1,40,12902.288
AFRICA,1990,1,45,10505.363
AFRICA,1990,1,50,8768.67
AFRICA,1990,1,55,7301.772
AFRICA,1990,1,60,5702.898
AFRICA,1990,1,65,4118.976
AFRICA,1990,1,70,2672.399
AFRICA,1990,1,75,1468.466
AFRICA,1990,1,80,622.379
AFRICA,1990,1,85,177.561
AFRICA,1990,1,90,31.727
AFRICA,1990,1,95,3.155
AFRICA,1990,1,100,0.183
AFRICA,1995,1,0,60363.515
AFRICA,1995,1,5,52549.298
AFRICA,1995,1,10,46000.028
AFRICA,1995,1,15,38950.021
AFRICA,1995,1,20,32013.513
AFRICA,1995,1,25,26306.446
AFRICA,1995,1,30,22144.326
AFRICA,1995,1,35,18461.019
AFRICA,1995,1,40,15158.267
AFRICA,1995,1,45,12299.916
AFRICA,1995,1,50,9878.474
AFRICA,1995,1,55,8060.942
AFRICA,1995,1,60,6519.584
AFRICA,1995,1,65,4764.249
AFRICA,1995,1,70,3143.615
AFRICA,1995,1,75,1766.217
AFRICA,1995,1,80,763.429
AFRICA,1995,1,85,222.076
AFRICA,1995,1,90,39.529
AFRICA,1995,1,95,4.116
AFRICA,1995,1,100,0.238
AFRICA,2000,1,0,66866.95
AFRICA,2000,1,5,57465.093
AFRICA,2000,1,10,51648.849
AFRICA,2000,1,15,44860.561
AFRICA,2000,1,20,37350.946
AFRICA,2000,1,25,30630.937
AFRICA,2000,1,30,25265.958
AFRICA,2000,1,35,21200.523
AFRICA,2000,1,40,17377.448
AFRICA,2000,1,45,14082.397
AFRICA,2000,1,50,11152.216
AFRICA,2000,1,55,8884.961
AFRICA,2000,1,60,7095.806
AFRICA,2000,1,65,5489.229
AFRICA,2000,1,70,3659.559
AFRICA,2000,1,75,2098.068
AFRICA,2000,1,80,940.761
AFRICA,2000,1,85,277.895
AFRICA,2000,1,90,51.618
AFRICA,2000,1,95,5.459
AFRICA,2000,1,100,0.33
AFRICA,2005,1,0,74621.077
AFRICA,2005,1,5,63914.643
AFRICA,2005,1,10,56447.316
AFRICA,2005,1,15,50613.456
AFRICA,2005,1,20,43443.235
